Candidates_of_the_same_steps&Hellinger Distance&Probabilities 
[[16, 16]]&0.0&0.0147240245874
[[15, 17], [17, 15]]&0.0681693511069&0.0230181924806
[[14, 18], [18, 14]]&0.136110594822&0.0180071050394
[[13, 19], [19, 13]]&0.203595164757&0.0141102037354
[[12, 20], [20, 12]]&0.270393604504&0.0110840758024
[[11, 21], [21, 11]]&0.336275202117&0.0087358382946
[[10, 22], [22, 10]]&0.401007750962&0.0069137394431
[[9, 23], [23, 9]]&0.46435754555&0.00549909891415
[[8, 24], [24, 8]]&0.526089818459&0.00439955347931
[[7, 25], [25, 7]]&0.585970031761&0.00354349889942
[[6, 26], [26, 6]]&0.643766908386&0.00287558097729
[[5, 27], [27, 5]]&0.699259267469&0.00235307420396
[[4, 28], [28, 4]]&0.75225205586&0.00194298067951
[[3, 29], [29, 3]]&0.802618124847&0.00161965951853
[[2, 30], [30, 2]]&0.850430788988&0.0013626562083
[[1, 31], [31, 1]]&0.896588675179&0.00115330954773
