Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[16, 16]]&0.0&0.316060279414
[[15, 17], [17, 15]]&0.0681693511069&0.432332358382
[[14, 18], [18, 14]]&0.136110594822&0.159046186402
[[13, 19], [19, 13]]&0.203595164757&0.0585098221739
[[12, 20], [20, 12]]&0.270393604504&0.0215245606844
[[11, 21], [21, 11]]&0.336275202117&0.00791844335603
[[10, 22], [22, 10]]&0.401007750962&0.00291303251677
[[9, 23], [23, 9]]&0.46435754555&0.00107164477438
[[8, 24], [24, 8]]&0.526089818459&0.000394236080734
[[7, 25], [25, 7]]&0.585970031761&0.00014503134907
[[6, 26], [26, 6]]&0.643766908386&5.33540516483e-05
[[5, 27], [27, 5]]&0.699259267469&1.96278587045e-05
[[4, 28], [28, 4]]&0.75225205586&7.22068569164e-06
[[3, 29], [29, 3]]&0.802618124847&2.65634181706e-06
[[2, 30], [30, 2]]&0.850430788988&9.77213543253e-07
[[1, 31], [31, 1]]&0.896588675179&3.59496772226e-07
