Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[31, 31]]&0.0&0.196734670144
[[30, 32], [32, 30]]&0.0445480565516&0.316060279414
[[29, 33], [33, 29]]&0.0890053110275&0.191700249782
[[28, 34], [34, 28]]&0.133281144989&0.116272078967
[[27, 35], [35, 27]]&0.177285308307&0.0705225807623
[[26, 36], [36, 26]]&0.220928105936&0.0427741074344
[[25, 37], [37, 25]]&0.264120587861&0.0259438076008
[[24, 38], [38, 24]]&0.30677474337&0.0157357147396
[[23, 39], [39, 23]]&0.348803700849&0.00954419344204
[[22, 40], [40, 22]]&0.390121934404&0.00578884594482
[[21, 41], [41, 21]]&0.430645478725&0.00351111254989
[[20, 42], [42, 20]]&0.470292153782&0.00212959741121
[[19, 43], [43, 19]]&0.508981801101&0.00129166612274
[[18, 44], [44, 18]]&0.546636533689&0.000783435105556
[[17, 45], [45, 17]]&0.583181001967&0.000475177411415
[[16, 46], [46, 16]]&0.618542678584&0.000288209668826
[[15, 47], [47, 15]]&0.652652165619&0.000174808000569
[[14, 48], [48, 14]]&0.685443528677&0.000106026411908
[[13, 49], [49, 13]]&0.716854663826&6.43082695615e-05
[[12, 50], [50, 12]]&0.746827705663&3.90049371621e-05
[[11, 51], [51, 11]]&0.775309488655&2.36576902689e-05
[[10, 52], [52, 10]]&0.802252080614&1.43491144862e-05
[[9, 53], [53, 9]]&0.827613419521&8.70317787552e-06
[[8, 54], [54, 8]]&0.851358108935&5.27874421845e-06
[[7, 55], [55, 7]]&0.873458477215&3.2017202133e-06
[[6, 56], [56, 6]]&0.893896118205&1.94194147316e-06
[[5, 57], [57, 5]]&0.912664409714&1.1778470428e-06
[[4, 58], [58, 4]]&0.92977328938&7.1440034393e-07
[[3, 59], [59, 3]]&0.94526018466&4.33305711986e-07
[[2, 60], [60, 2]]&0.959222346213&2.62813199236e-07
[[1, 61], [61, 1]]&0.97196462353&1.59404263187e-07
