Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[3, 59], [59, 3]]&0.0&0.316060279414
[[4, 58], [58, 4]]&0.102552352365&0.116272078967
[[2, 60], [60, 2]]&0.124055387635&0.316060279414
[[5, 57], [57, 5]]&0.190485838467&0.0427741074344
[[6, 56], [56, 6]]&0.26745812616&0.0157357147396
[[1, 61], [61, 1]]&0.287080930574&0.116272078967
[[7, 55], [55, 7]]&0.335727353233&0.00578884594482
[[8, 54], [54, 8]]&0.396823080844&0.00212959741121
[[9, 53], [53, 9]]&0.451849470211&0.000783435105556
[[10, 52], [52, 10]]&0.501641654968&0.000288209668826
[[11, 51], [51, 11]]&0.546854250298&0.000106026411908
[[12, 50], [50, 12]]&0.588015048105&3.90049371621e-05
[[13, 49], [49, 13]]&0.625559398022&1.43491144862e-05
[[14, 48], [48, 14]]&0.659853195891&5.27874421841e-06
[[15, 47], [47, 15]]&0.69120881171&1.94194147318e-06
[[16, 46], [46, 16]]&0.719896459498&7.14400343882e-07
[[17, 45], [45, 17]]&0.746152521865&2.62813199314e-07
[[18, 44], [44, 18]]&0.770185779522&9.66835729255e-08
[[19, 43], [43, 19]]&0.792182162539&3.55678987374e-08
[[20, 42], [42, 20]]&0.812308435239&1.30846987689e-08
[[21, 41], [41, 21]]&0.830715096779&4.8135916364e-09
[[22, 40], [40, 22]]&0.847538694803&1.77082137842e-09
[[23, 39], [39, 23]]&0.862903693083&6.51448894828e-10
[[24, 38], [38, 24]]&0.876923995513&2.39654851519e-10
[[25, 37], [37, 25]]&0.889704202031&8.81645867423e-11
[[26, 36], [36, 26]]&0.901340653074&3.24351656644e-11
[[27, 35], [35, 27]]&0.911922305504&1.19356746708e-11
[[28, 34], [34, 28]]&0.921531473026&4.4003689581e-12
[[29, 33], [33, 29]]&0.930244456718&1.64424029947e-12
[[30, 32], [32, 30]]&0.938132085812&6.74571509762e-13
[[31, 31]]&0.94526018466&2.18491891246e-13
