Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[16, 16]]&0.0&0.196734670144
[[15, 17], [17, 15]]&0.0681693511069&0.316060279414
[[14, 18], [18, 14]]&0.136110594822&0.191700249782
[[13, 19], [19, 13]]&0.203595164757&0.116272078967
[[12, 20], [20, 12]]&0.270393604504&0.0705225807623
[[11, 21], [21, 11]]&0.336275202117&0.0427741074344
[[10, 22], [22, 10]]&0.401007750962&0.0259438076008
[[9, 23], [23, 9]]&0.46435754555&0.0157357147396
[[8, 24], [24, 8]]&0.526089818459&0.00954419344204
[[7, 25], [25, 7]]&0.585970031761&0.00578884594482
[[6, 26], [26, 6]]&0.643766908386&0.00351111254989
[[5, 27], [27, 5]]&0.699259267469&0.00212959741121
[[4, 28], [28, 4]]&0.75225205586&0.00129166612274
[[3, 29], [29, 3]]&0.802618124847&0.000783435105556
[[2, 30], [30, 2]]&0.850430788988&0.000475177411415
[[1, 31], [31, 1]]&0.896588675179&0.000288209668826
