Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[101, 1], [1, 101]]&0.9939791&1.83928151777e-11
[[100, 2], [2, 100]]&0.9911663&1.19317007889e-11
[[3, 99], [99, 3]]&0.987952&1.96720488863e-11
[[4, 98], [98, 4]]&0.9842427&3.24337254371e-11
[[5, 97], [97, 5]]&0.9799843&5.34741730162e-11
[[6, 96], [96, 6]]&0.9751343&8.81640064849e-11
[[7, 95], [95, 7]]&0.9696555&1.45357872802e-10
[[8, 94], [94, 8]]&0.9635143&2.39654616752e-10
[[9, 93], [93, 9]]&0.9566802&3.95123664261e-10
[[10, 92], [92, 10]]&0.9491251&6.51448789824e-10
[[11, 91], [91, 11]]&0.9408238&1.07405747655e-09
[[12, 90], [90, 12]]&0.9317535&1.77082140755e-09
[[13, 89], [89, 13]]&0.9218941&2.91959092124e-09
[[14, 88], [88, 14]]&0.9112279&4.81359165359e-09
[[15, 87], [87, 15]]&0.8997398&7.93627094773e-09
[[16, 86], [86, 16]]&0.8874174&1.30846987216e-08
[[17, 85], [85, 17]]&0.8742507&2.1573021103e-08
[[18, 84], [84, 18]]&0.8602325&3.55678987657e-08
[[19, 83], [83, 19]]&0.8453578&5.86415512491e-08
[[20, 82], [82, 20]]&0.8296242&9.66835728913e-08
[[21, 81], [81, 21]]&0.813032&1.59404263153e-07
[[22, 80], [80, 22]]&0.7955835&2.62813199301e-07
[[23, 79], [79, 23]]&0.7772838&4.33305711908e-07
[[24, 78], [78, 24]]&0.7581398&7.14400343939e-07
[[25, 77], [77, 25]]&0.7381611&1.17784704285e-06
[[26, 76], [76, 26]]&0.7173594&1.94194147317e-06
[[27, 75], [75, 27]]&0.6957482&3.20172021328e-06
[[28, 74], [74, 28]]&0.6733436&5.27874421846e-06
[[29, 73], [73, 29]]&0.6501631&8.70317787556e-06
[[30, 72], [72, 30]]&0.6262267&1.43491144861e-05
[[31, 71], [71, 31]]&0.6015557&2.3657690269e-05
[[32, 70], [70, 32]]&0.5761736&3.90049371621e-05
[[33, 69], [69, 33]]&0.5501052&6.43082695615e-05
[[34, 68], [68, 34]]&0.5233773&0.000106026411908
[[35, 67], [67, 35]]&0.496018&0.000174808000569
[[36, 66], [66, 36]]&0.4680569&0.000288209668826
[[37, 65], [65, 37]]&0.4395248&0.000475177411415
[[38, 64], [64, 38]]&0.4104542&0.000783435105556
[[39, 63], [63, 39]]&0.3808783&0.00129166612274
[[40, 62], [62, 40]]&0.3508317&0.00212959741121
[[41, 61], [61, 41]]&0.3203501&0.00351111254989
[[42, 60], [60, 42]]&0.2894699&0.00578884594482
[[43, 59], [59, 43]]&0.2582286&0.00954419344204
[[44, 58], [58, 44]]&0.2266642&0.0157357147396
[[45, 57], [57, 45]]&0.1948158&0.0259438076008
[[46, 56], [56, 46]]&0.1627227&0.0427741074344
[[47, 55], [55, 47]]&0.1304249&0.0705225807623
[[48, 54], [54, 48]]&0.0979629&0.116272078967
[[49, 53], [53, 49]]&0.0653773&0.191700249782
[[50, 52], [52, 50]]&0.0327093&0.316060279414
[[51, 51]]&0.0&0.196734670144
