Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[1, 151, 1], [1, 1, 151], [151, 1, 1]]&0.999941&5.98188165668e-11
[[1, 150, 2], [2, 1, 150], [2, 150, 1], [1, 2, 150], [150, 1, 2], [150, 2, 1]]&0.999915&6.69128343268e-23
[[1, 149, 3], [3, 1, 149], [3, 149, 1], [1, 3, 149], [149, 1, 3], [149, 3, 1]]&0.999886&1.10320613238e-22
[[2, 2, 149], [2, 149, 2], [149, 2, 2]]&0.999878&5.5160306619e-23
[[1, 148, 4], [4, 148, 1], [4, 1, 148], [1, 4, 148], [148, 1, 4], [148, 4, 1]]&0.999852&1.81887941646e-22
[[2, 3, 148], [2, 148, 3], [3, 2, 148], [3, 148, 2], [148, 2, 3], [148, 3, 2]]&0.999836&1.81887941644e-22
[[1, 147, 5], [5, 1, 147], [1, 5, 147], [5, 147, 1], [147, 1, 5], [147, 5, 1]]&0.999814&2.99882518282e-22
[[2, 4, 147], [4, 147, 2], [2, 147, 4], [4, 2, 147], [147, 2, 4], [147, 4, 2]]&0.999787&2.99882518277e-22
[[3, 3, 147], [3, 147, 3], [147, 3, 3]]&0.999779&1.49941259137e-22
[[1, 146, 6], [6, 1, 146], [6, 146, 1], [1, 6, 146], [146, 1, 6], [146, 6, 1]]&0.99977&4.94422686623e-22
[[2, 5, 146], [2, 146, 5], [5, 2, 146], [5, 146, 2], [146, 2, 5], [146, 5, 2]]&0.999732&4.94422686606e-22
[[1, 145, 7], [7, 1, 145], [1, 7, 145], [145, 1, 7], [145, 7, 1], [7, 145, 1]]&0.999721&8.15165200207e-22
[[4, 146, 3], [3, 4, 146], [3, 146, 4], [4, 3, 146], [146, 3, 4], [146, 4, 3]]&0.999714&4.94422686598e-22
[[2, 6, 145], [2, 145, 6], [6, 2, 145], [6, 145, 2], [145, 2, 6], [145, 6, 2]]&0.99967&8.15165200157e-22
[[8, 144, 1], [1, 144, 8], [1, 8, 144], [144, 1, 8], [144, 8, 1], [8, 1, 144]]&0.999666&1.34398020486e-21
