Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[834, 168], [168, 834]]&0.9999553&1.41501936449e-26
[[169, 833], [833, 169]]&0.9999523&1.41527258239e-26
[[170, 832], [832, 170]]&0.9999491&1.41554159585e-26
[[171, 831], [831, 171]]&0.9999456&1.41582729452e-26
[[172, 830], [830, 172]]&0.999942&1.41613061252e-26
[[173, 829], [829, 173]]&0.9999381&1.4164525304e-26
[[174, 828], [828, 174]]&0.999934&1.41679407717e-26
[[175, 827], [827, 175]]&0.9999297&1.41715633236e-26
[[826, 176], [176, 826]]&0.9999251&1.4175404282e-26
[[825, 177], [177, 825]]&0.9999202&1.41794755189e-26
[[824, 178], [178, 824]]&0.999915&1.41837894791e-26
[[179, 823], [823, 179]]&0.9999095&1.41883592044e-26
[[822, 180], [180, 822]]&0.9999037&1.4193198359e-26
[[821, 181], [181, 821]]&0.9998976&1.41983212553e-26
[[820, 182], [182, 820]]&0.9998911&1.42037428815e-26
[[819, 183], [183, 819]]&0.9998842&1.42094789292e-26
[[818, 184], [184, 818]]&0.999877&1.42155458228e-26
[[817, 185], [185, 817]]&0.9998693&1.42219607501e-26
[[816, 186], [186, 816]]&0.9998612&1.42287416934e-26
[[815, 187], [187, 815]]&0.9998526&1.42359074628e-26
[[814, 188], [188, 814]]&0.9998436&1.42434777296e-26
[[189, 813], [813, 189]]&0.9998341&1.42514730623e-26
[[190, 812], [812, 190]]&0.999824&1.42599149627e-26
[[191, 811], [811, 191]]&0.9998134&1.42688259051e-26
[[192, 810], [810, 192]]&0.9998022&1.42782293753e-26
[[193, 809], [809, 193]]&0.9997903&1.42881499123e-26
[[194, 808], [808, 194]]&0.9997779&1.42986131519e-26
[[195, 807], [807, 195]]&0.9997648&1.4309645871e-26
[[196, 806], [806, 196]]&0.999751&1.43212760348e-26
[[805, 197], [197, 805]]&0.9997364&1.4333532846e-26
[[804, 198], [198, 804]]&0.9997211&1.43464467951e-26
[[803, 199], [199, 803]]&0.999705&1.43600497142e-26
[[200, 802], [802, 200]]&0.999688&1.43743748323e-26
[[801, 201], [201, 801]]&0.9996702&1.43894568338e-26
[[800, 202], [202, 800]]&0.9996515&1.44053319184e-26
[[799, 203], [203, 799]]&0.9996317&1.44220378656e-26
[[798, 204], [204, 798]]&0.999611&1.44396141006e-26
[[205, 797], [797, 205]]&0.9995893&1.44581017642e-26
[[206, 796], [796, 206]]&0.9995664&1.44775437856e-26
[[207, 795], [795, 207]]&0.9995424&1.44979849594e-26
[[208, 794], [794, 208]]&0.9995173&1.45194720258e-26
[[209, 793], [793, 209]]&0.9994908&1.45420537546e-26
[[210, 792], [792, 210]]&0.9994631&1.45657810346e-26
[[211, 791], [791, 211]]&0.999434&1.45907069665e-26
[[212, 790], [790, 212]]&0.9994036&1.46168869612e-26
[[213, 789], [789, 213]]&0.9993716&1.46443788432e-26
[[788, 214], [214, 788]]&0.9993381&1.46732429596e-26
[[787, 215], [215, 787]]&0.999303&1.4703542295e-26
[[216, 786], [786, 216]]&0.9992663&1.47353425929e-26
[[785, 217], [217, 785]]&0.9992278&1.47687124838e-26
[[784, 218], [218, 784]]&0.9991876&1.48037236202e-26
[[783, 219], [219, 783]]&0.9991454&1.48404508206e-26
[[220, 782], [782, 220]]&0.9991014&1.48789722203e-26
[[781, 221], [221, 781]]&0.9990553&1.49193694322e-26
[[780, 222], [222, 780]]&0.999007&1.4961727717e-26
[[223, 779], [779, 223]]&0.9989566&1.50061361634e-26
[[224, 778], [778, 224]]&0.998904&1.50526878796e-26
[[225, 777], [777, 225]]&0.998849&1.51014801966e-26
[[226, 776], [776, 226]]&0.9987915&1.51526148842e-26
[[227, 775], [775, 227]]&0.9987314&1.52061983808e-26
[[774, 228], [228, 774]]&0.9986688&1.52623420377e-26
[[229, 773], [773, 229]]&0.9986034&1.53211623794e-26
[[230, 772], [772, 230]]&0.9985351&1.53827813809e-26
[[771, 231], [231, 771]]&0.9984639&1.54473267632e-26
[[770, 232], [232, 770]]&0.9983897&1.55149323084e-26
[[769, 233], [233, 769]]&0.9983122&1.55857381967e-26
[[234, 768], [768, 234]]&0.9982315&1.56598913654e-26
[[235, 767], [767, 235]]&0.9981474&1.5737545893e-26
[[766, 236], [236, 766]]&0.9980598&1.58188634101e-26
[[765, 237], [237, 765]]&0.9979685&1.59040135388e-26
[[764, 238], [238, 764]]&0.9978734&1.59931743631e-26
[[763, 239], [239, 763]]&0.9977745&1.60865329326e-26
[[240, 762], [762, 240]]&0.9976714&1.61842858033e-26
[[241, 761], [761, 241]]&0.9975642&1.62866396161e-26
[[242, 760], [760, 242]]&0.9974527&1.63938117189e-26
[[243, 759], [759, 243]]&0.9973367&1.65060308339e-26
[[244, 758], [758, 244]]&0.9972161&1.66235377746e-26
[[245, 757], [757, 245]]&0.9970907&1.67465862167e-26
[[246, 756], [756, 246]]&0.9969603&1.68754435272e-26
[[247, 755], [755, 247]]&0.9968249&1.70103916567e-26
[[248, 754], [754, 248]]&0.9966842&1.71517281001e-26
[[753, 249], [249, 753]]&0.9965381&1.72997669324e-26
[[250, 752], [752, 250]]&0.9963863&1.74548399246e-26
[[251, 751], [751, 251]]&0.9962288&1.76172977484e-26
[[252, 750], [750, 252]]&0.9960653&1.7787511276e-26
[[253, 749], [749, 253]]&0.9958956&1.79658729849e-26
[[254, 748], [748, 254]]&0.9957196&1.81527984751e-26
[[255, 747], [747, 255]]&0.9955371&1.83487281113e-26
[[256, 746], [746, 256]]&0.9953478&1.85541287989e-26
[[257, 745], [745, 257]]&0.9951515&1.87694959088e-26
