Candidates_of_the_same_steps&Hellinger Distance&Probabilities 
[[31, 31]]&0.0&0.115458697249
[[30, 32], [32, 30]]&0.0445480565516&0.181406860796
[[29, 33], [33, 29]]&0.0890053110275&0.142581896411
[[28, 34], [34, 28]]&0.133281144989&0.112176496517
[[27, 35], [35, 27]]&0.177285308307&0.088384983407
[[26, 36], [36, 26]]&0.220928105936&0.0697758667058
[[25, 37], [37, 25]]&0.264120587861&0.0552193638546
[[24, 38], [38, 24]]&0.30677474337&0.0438272292393
[[23, 39], [39, 23]]&0.348803700849&0.034903378035
[[22, 40], [40, 22]]&0.390121934404&0.0279037738099
[[21, 41], [41, 21]]&0.430645478725&0.0224041254558
[[20, 42], [42, 20]]&0.470292153782&0.0180740698159
[[19, 43], [43, 19]]&0.508981801101&0.0146566730835
[[18, 44], [44, 18]]&0.546636533689&0.0119522472327
[[17, 45], [45, 17]]&0.583181001967&0.00980563497915
[[16, 46], [46, 16]]&0.618542678584&0.00809626082371
[[15, 47], [47, 15]]&0.652652165619&0.00673037305523
[[14, 48], [48, 14]]&0.685443528677&0.00563501112879
[[13, 49], [49, 13]]&0.716854663826&0.00475332509184
[[12, 50], [50, 12]]&0.746827705663&0.0040409501177
[[11, 51], [51, 11]]&0.775309488655&0.00346320156701
[[10, 52], [52, 10]]&0.802252080614&0.00299290630907
[[9, 53], [53, 9]]&0.827613419521&0.00260872620717
[[8, 54], [54, 8]]&0.851358108935&0.0022938614373
[[7, 55], [55, 7]]&0.873458477215&0.00203504613602
[[6, 56], [56, 6]]&0.893896118205&0.00182176787809
[[5, 57], [57, 5]]&0.912664409714&0.00164565616819
[[4, 58], [58, 4]]&0.92977328938&0.00149999242375
[[3, 59], [59, 3]]&0.94526018466&0.00137928775222
[[2, 60], [60, 2]]&0.959222346213&0.00127881509696
[[1, 61], [61, 1]]&0.97196462353&0.00119352221468
