Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[968, 34], [931, 71], [994, 8], [932, 70], [915, 87], [995, 7], [978, 24], [961, 41], [941, 61], [933, 69], [916, 86], [924, 78], [992, 10], [977, 25], [996, 6], [979, 23], [962, 40], [973, 29], [934, 68], [917, 85], [997, 5], [980, 22], [935, 67], [918, 84], [998, 4], [981, 21], [946, 56], [964, 38], [947, 55], [936, 66], [970, 32], [999, 3], [982, 20], [965, 37], [948, 54], [986, 16], [971, 31], [937, 65], [963, 39], [920, 82], [960, 42], [1000, 2], [983, 19], [966, 36], [949, 53], [938, 64], [921, 81], [925, 77], [1001, 1], [984, 18], [967, 35], [950, 52], [974, 28], [939, 63], [922, 80], [985, 17], [940, 62], [969, 33], [952, 50], [929, 73], [65, 937], [66, 936], [67, 935], [68, 934], [993, 9], [69, 933], [70, 932], [72, 930], [82, 920], [83, 919], [953, 49], [86, 916], [87, 915], [988, 14], [942, 60], [991, 11], [976, 26], [1, 1001], [943, 59], [919, 83], [926, 76], [951, 51], [989, 13], [959, 43], [955, 47], [975, 27], [944, 58], [927, 75], [954, 48], [958, 44], [71, 931], [990, 12], [956, 46], [987, 15], [972, 30], [957, 45], [73, 929], [945, 57], [928, 74], [923, 79], [74, 928], [2, 1000], [3, 999], [4, 998], [75, 927], [5, 997], [6, 996], [7, 995], [8, 994], [9, 993], [10, 992], [76, 926], [11, 991], [12, 990], [13, 989], [14, 988], [15, 987], [16, 986], [77, 925], [17, 985], [18, 984], [19, 983], [20, 982], [21, 981], [22, 980], [78, 924], [23, 979], [930, 72], [24, 978], [25, 977], [26, 976], [27, 975], [28, 974], [79, 923], [29, 973], [30, 972], [31, 971], [32, 970], [33, 969], [34, 968], [80, 922], [35, 967], [36, 966], [37, 965], [38, 964], [39, 963], [40, 962], [81, 921], [41, 961], [42, 960], [43, 959], [44, 958], [45, 957], [46, 956], [47, 955], [48, 954], [49, 953], [50, 952], [51, 951], [52, 950], [53, 949], [54, 948], [55, 947], [56, 946], [57, 945], [58, 944], [84, 918], [59, 943], [60, 942], [61, 941], [62, 940], [63, 939], [64, 938], [85, 917]]&1.0&2.96071634022e-180
[[90, 912], [909, 93], [912, 90], [96, 906], [97, 905], [907, 95], [914, 88], [905, 97], [910, 92], [906, 96], [908, 94], [88, 914], [89, 913], [91, 911], [92, 910], [93, 909], [94, 908], [95, 907], [913, 89], [911, 91]]&0.9999999&6.52111564795e-176
[[98, 904], [101, 901], [102, 900], [900, 102], [901, 101], [902, 100], [903, 99], [904, 98], [99, 903], [100, 902]]&0.9999998&9.61341903393e-174
[[899, 103], [103, 899], [104, 898], [105, 897], [106, 896], [897, 105], [898, 104], [896, 106]]&0.9999997&5.1875683175e-172
[[109, 893], [895, 107], [107, 895], [108, 894], [893, 109], [894, 108]]&0.9999996&1.00854745769e-170
[[891, 111], [110, 892], [111, 891], [892, 110]]&0.9999995&6.7812866686e-170
[[113, 889], [889, 113], [890, 112], [112, 890]]&0.9999994&5.01073076172e-169
[[114, 888], [888, 114]]&0.9999993&9.95744066833e-169
[[886, 116], [887, 115], [115, 887], [116, 886]]&0.9999992&1.00643217727e-167
[[885, 117], [117, 885]]&0.9999991&2.00000542204e-167
[[884, 118], [118, 884]]&0.999999&5.43657839555e-167
[[119, 883], [883, 119]]&0.9999989&1.47781522616e-166
[[120, 882], [882, 120]]&0.9999988&4.0171182751e-166
[[121, 881], [881, 121]]&0.9999987&1.091965961e-165
[[122, 880], [880, 122]]&0.9999986&2.96827122907e-165
[[123, 879], [879, 123]]&0.9999985&8.06859774393e-165
[[124, 878], [878, 124]]&0.9999983&2.19327226285e-164
[[125, 877], [877, 125]]&0.9999982&5.96193213696e-164
[[876, 126], [126, 876]]&0.999998&1.62062117904e-163
[[875, 127], [127, 875]]&0.9999979&4.4053051018e-163
[[874, 128], [128, 874]]&0.9999977&1.1974860807e-162
[[873, 129], [129, 873]]&0.9999975&3.25510465301e-162
[[872, 130], [130, 872]]&0.9999973&8.84829182801e-162
[[131, 871], [871, 131]]&0.999997&2.4052150889e-161
[[870, 132], [132, 870]]&0.9999968&6.53805246969e-161
[[869, 133], [133, 869]]&0.9999965&1.77722692219e-160
[[868, 134], [134, 868]]&0.9999962&4.83100364763e-160
[[867, 135], [135, 867]]&0.9999959&1.31320294286e-159
[[866, 136], [136, 866]]&0.9999956&3.56965569665e-159
[[137, 865], [865, 137]]&0.9999952&9.70333021405e-159
[[138, 864], [864, 138]]&0.9999948&2.63763861964e-158
[[863, 139], [139, 863]]&0.9999944&7.16984512981e-158
[[140, 862], [862, 140]]&0.9999939&1.94896597292e-157
[[861, 141], [141, 861]]&0.9999935&5.29783878848e-157
[[142, 860], [860, 142]]&0.9999929&1.44010189088e-156
[[859, 143], [143, 859]]&0.9999924&3.91460280112e-156
[[858, 144], [144, 858]]&0.9999918&1.06409936599e-155
[[857, 145], [145, 857]]&0.9999911&2.89252197025e-155
[[856, 146], [146, 856]]&0.9999905&7.86268991014e-155
[[855, 147], [147, 855]]&0.9999897&2.13730071056e-154
[[854, 148], [148, 854]]&0.9999889&5.80978568346e-154
[[149, 853], [853, 149]]&0.9999881&1.57926348506e-153
[[150, 852], [852, 150]]&0.9999872&4.29288323378e-153
[[151, 851], [851, 151]]&0.9999862&1.16692664861e-152
[[152, 850], [850, 152]]&0.9999852&3.17203550406e-152
[[849, 153], [153, 849]]&0.9999841&8.62248646991e-152
[[154, 848], [848, 154]]&0.9999829&2.34383482873e-151
[[155, 847], [847, 155]]&0.9999817&6.37120362384e-151
[[156, 846], [846, 156]]&0.9999803&1.73187270361e-150
[[157, 845], [845, 157]]&0.9999789&4.70771809943e-150
[[158, 844], [844, 158]]&0.9999773&1.27969045632e-149
[[843, 159], [159, 843]]&0.9999757&3.47855931346e-149
[[842, 160], [160, 842]]&0.999974&9.455704571e-149
[[841, 161], [161, 841]]&0.9999721&2.57032699106e-148
[[162, 840], [840, 162]]&0.9999701&6.986873153e-148
[[163, 839], [839, 163]]&0.999968&1.89922903296e-147
[[838, 164], [164, 838]]&0.9999658&5.16263976836e-147
