Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[139, 3, 11], [11, 3, 139], [3, 11, 139], [3, 139, 11], [139, 11, 3], [11, 139, 3]]&0.998968&1.42628261003e-14
[[8, 140, 5], [5, 8, 140], [140, 5, 8], [140, 8, 5], [5, 140, 8], [8, 5, 140]]&0.998955&1.02197547622e-14
[[140, 6, 7], [140, 7, 6], [6, 7, 140], [6, 140, 7], [7, 6, 140], [7, 140, 6]]&0.998923&1.02197541604e-14
[[1, 135, 17], [17, 1, 135], [17, 135, 1], [135, 1, 17], [135, 17, 1], [1, 17, 135]]&0.99887&5.41088245247e-14
[[137, 2, 14], [2, 14, 137], [137, 14, 2], [14, 137, 2], [2, 137, 14], [14, 2, 137]]&0.998853&2.77802466773e-14
[[4, 139, 10], [10, 4, 139], [139, 4, 10], [10, 139, 4], [139, 10, 4], [4, 10, 139]]&0.998851&1.42628218633e-14
[[138, 12, 3], [3, 12, 138], [3, 138, 12], [138, 3, 12], [12, 138, 3], [12, 3, 138]]&0.998813&1.9905386461e-14
[[9, 5, 139], [5, 9, 139], [9, 139, 5], [139, 5, 9], [139, 9, 5], [5, 139, 9]]&0.998765&1.42628191364e-14
[[1, 134, 18], [18, 1, 134], [18, 134, 1], [134, 1, 18], [134, 18, 1], [1, 18, 134]]&0.998744&7.55152039846e-14
[[8, 139, 6], [139, 8, 6], [139, 6, 8], [6, 8, 139], [6, 139, 8], [8, 6, 139]]&0.998713&1.42628176137e-14
[[136, 15, 2], [2, 15, 136], [15, 2, 136], [15, 136, 2], [2, 136, 15], [136, 2, 15]]&0.998706&3.87705058192e-14
[[139, 7, 7], [7, 7, 139], [7, 139, 7]]&0.998695&7.13140856219e-15
[[4, 138, 11], [138, 11, 4], [11, 4, 138], [4, 11, 138], [138, 4, 11], [11, 138, 4]]&0.998668&1.99053779574e-14
[[137, 3, 13], [3, 13, 137], [3, 137, 13], [13, 3, 137], [13, 137, 3], [137, 13, 3]]&0.998644&2.77802224708e-14
[[1, 133, 19], [19, 1, 133], [19, 133, 1], [133, 1, 19], [133, 19, 1], [1, 19, 133]]&0.998611&1.05390455917e-13
[[138, 10, 5], [5, 10, 138], [10, 5, 138], [10, 138, 5], [138, 5, 10], [5, 138, 10]]&0.998556&1.99053722954e-14
[[2, 16, 135], [16, 135, 2], [16, 2, 135], [2, 135, 16], [135, 2, 16], [135, 16, 2]]&0.998548&5.41086938882e-14
[[9, 6, 138], [9, 138, 6], [6, 9, 138], [138, 6, 9], [6, 138, 9], [138, 9, 6]]&0.998479&1.99053688403e-14
[[1, 132, 20], [20, 1, 132], [132, 1, 20], [132, 20, 1], [20, 132, 1], [1, 20, 132]]&0.99847&1.47085201591e-13
[[137, 4, 12], [4, 137, 12], [137, 12, 4], [4, 12, 137], [12, 137, 4], [12, 4, 137]]&0.998467&2.77802055574e-14
[[136, 14, 3], [14, 136, 3], [3, 14, 136], [3, 136, 14], [14, 3, 136], [136, 3, 14]]&0.998461&3.87704583209e-14
[[8, 138, 7], [138, 7, 8], [7, 8, 138], [138, 8, 7], [7, 138, 8], [8, 7, 138]]&0.99844&1.99053672044e-14
[[2, 17, 134], [17, 2, 134], [2, 134, 17], [17, 134, 2], [134, 2, 17], [134, 17, 2]]&0.998379&7.55149490502e-14
[[137, 11, 5], [5, 11, 137], [137, 5, 11], [11, 5, 137], [5, 137, 11], [11, 137, 5]]&0.998325&2.77801940401e-14
[[1, 131, 21], [131, 1, 21], [21, 131, 1], [21, 1, 131], [131, 21, 1], [1, 21, 131]]&0.998321&2.0527582775e-13
[[15, 3, 135], [15, 135, 3], [3, 15, 135], [3, 135, 15], [135, 3, 15], [135, 15, 3]]&0.998265&5.41086008849e-14
[[136, 13, 4], [4, 136, 13], [4, 13, 136], [13, 4, 136], [13, 136, 4], [136, 4, 13]]&0.99825&3.87704248887e-14
