Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[834, 168], [168, 834]]&0.9999553&2.55203087208e-73
[[169, 833], [833, 169]]&0.9999523&4.20758758228e-73
[[170, 832], [832, 170]]&0.9999491&6.93713914523e-73
[[171, 831], [831, 171]]&0.9999456&1.14374088666e-72
[[172, 830], [830, 172]]&0.999942&1.885709928e-72
[[173, 829], [829, 173]]&0.9999381&3.10901006866e-72
[[174, 828], [828, 174]]&0.999934&5.12589103102e-72
[[175, 827], [827, 175]]&0.9999297&8.45116557414e-72
[[826, 176], [176, 826]]&0.9999251&1.39336164443e-71
[[825, 177], [177, 825]]&0.9999202&2.29726498095e-71
[[824, 178], [178, 824]]&0.999915&3.78754963852e-71
[[179, 823], [823, 179]]&0.9999095&6.24461365287e-71
[[822, 180], [180, 822]]&0.9999037&1.02956273568e-70
[[821, 181], [181, 821]]&0.9998976&1.69746198183e-70
[[820, 182], [182, 820]]&0.9998911&2.79864167565e-70
[[819, 183], [183, 819]]&0.9998842&4.61418005972e-70
[[818, 184], [184, 818]]&0.999877&7.6074968113e-70
[[817, 185], [185, 817]]&0.9998693&1.25426418096e-69
[[816, 186], [186, 816]]&0.9998612&2.06793203422e-69
[[815, 187], [187, 815]]&0.9998526&3.40944353118e-69
[[814, 188], [188, 814]]&0.9998436&5.62122207111e-69
[[189, 813], [813, 189]]&0.9998341&9.26782839597e-69
[[190, 812], [812, 190]]&0.999824&1.52800658096e-68
[[191, 811], [811, 191]]&0.9998134&2.5192569518e-68
[[192, 810], [810, 192]]&0.9998022&4.1535525228e-68
[[193, 809], [809, 193]]&0.9997903&6.84805039331e-68
[[194, 808], [808, 194]]&0.9997779&1.12905263463e-67
[[195, 807], [807, 195]]&0.9997648&1.86149309445e-67
[[196, 806], [806, 196]]&0.999751&3.06908326008e-67
[[805, 197], [197, 805]]&0.9997364&5.06006285244e-67
[[804, 198], [198, 804]]&0.9997211&8.34263325591e-67
[[803, 199], [199, 803]]&0.999705&1.37546769027e-66
[[200, 802], [802, 200]]&0.999688&2.2677628381e-66
[[801, 201], [201, 801]]&0.9996702&3.73890882808e-66
[[800, 202], [202, 800]]&0.9996515&6.16441851407e-66
[[799, 203], [203, 799]]&0.9996317&1.01634079256e-65
[[798, 204], [204, 798]]&0.999611&1.67566268298e-65
[[205, 797], [797, 205]]&0.9995893&2.76270070795e-65
[[206, 796], [796, 206]]&0.9995664&4.55492342177e-65
[[207, 795], [795, 207]]&0.9995424&7.50979913189e-65
[[208, 794], [794, 208]]&0.9995173&1.23815655674e-64
[[209, 793], [793, 209]]&0.9994908&2.04137505156e-64
[[210, 792], [792, 210]]&0.9994631&3.36565846898e-64
[[211, 791], [791, 211]]&0.999434&5.54903270772e-64
[[212, 790], [790, 212]]&0.9994036&9.14880825703e-64
[[213, 789], [789, 213]]&0.9993716&1.50838347749e-63
[[788, 214], [214, 788]]&0.9993381&2.48690392372e-63
[[787, 215], [215, 787]]&0.999303&4.10021139722e-63
[[216, 786], [786, 216]]&0.9992663&6.76010574496e-63
[[785, 217], [217, 785]]&0.9992278&1.11455301339e-62
[[784, 218], [218, 784]]&0.9991876&1.8375872605e-62
[[783, 219], [219, 783]]&0.9991454&3.02966920315e-62
[[220, 782], [782, 220]]&0.9991014&4.99508005842e-62
[[781, 221], [221, 781]]&0.9990553&8.23549474117e-62
[[780, 222], [222, 780]]&0.999007&1.35780353545e-61
[[223, 779], [779, 223]]&0.9989566&2.23863957033e-61
[[224, 778], [778, 224]]&0.998904&3.69089267703e-61
[[225, 777], [777, 225]]&0.998849&6.08525326449e-61
[[226, 776], [776, 226]]&0.9987915&1.00328864948e-60
[[227, 775], [775, 227]]&0.9987314&1.65414333704e-60
[[774, 228], [228, 774]]&0.9986688&2.72722130457e-60
[[229, 773], [773, 229]]&0.9986034&4.49642777475e-60
[[230, 772], [772, 230]]&0.9985351&7.4133561144e-60
[[771, 231], [231, 771]]&0.9984639&1.22225579131e-59
[[770, 232], [232, 770]]&0.9983897&2.01515912137e-59
[[769, 233], [233, 769]]&0.9983122&3.32243570724e-59
[[234, 768], [768, 234]]&0.9982315&5.47777042107e-59
[[235, 767], [767, 235]]&0.9981474&9.03131660923e-59
[[766, 236], [236, 766]]&0.9980598&1.48901237961e-58
[[765, 237], [237, 765]]&0.9979685&2.45496638259e-58
[[764, 238], [238, 764]]&0.9978734&4.04755529383e-58
[[763, 239], [239, 763]]&0.9977745&6.67329050728e-58
[[240, 762], [762, 240]]&0.9976714&1.10023960049e-57
[[241, 761], [761, 241]]&0.9975642&1.8139884322e-57
[[242, 760], [760, 242]]&0.9974527&2.99076131297e-57
