Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[101, 1], [1, 101]]&0.993979140098&7.23694235099e-12
[[100, 2], [2, 100]]&0.991166320696&1.19317007889e-11
[[99, 3], [3, 99]]&0.987952045973&1.96720488863e-11
[[98, 4], [4, 98]]&0.984242703578&3.24337254371e-11
[[97, 5], [5, 97]]&0.979984328702&5.34741730162e-11
[[96, 6], [6, 96]]&0.975134320528&8.81640064849e-11
[[95, 7], [7, 95]]&0.969655508205&1.45357872802e-10
[[94, 8], [8, 94]]&0.963514329787&2.39654616752e-10
[[93, 9], [9, 93]]&0.956680170868&3.95123664261e-10
[[92, 10], [10, 92]]&0.949125109483&6.51448789824e-10
[[11, 91], [91, 11]]&0.94082382113&1.07405747655e-09
[[12, 90], [90, 12]]&0.931753549707&1.77082140755e-09
[[13, 89], [89, 13]]&0.921894104264&2.91959092124e-09
[[14, 88], [88, 14]]&0.911227863302&4.81359165359e-09
[[15, 87], [87, 15]]&0.899739777992&7.93627094773e-09
[[16, 86], [86, 16]]&0.887417370267&1.30846987216e-08
[[17, 85], [85, 17]]&0.874250724042&2.1573021103e-08
[[18, 84], [84, 18]]&0.860232468984&3.55678987657e-08
[[19, 83], [83, 19]]&0.845357756875&5.86415512491e-08
[[20, 82], [82, 20]]&0.829624230934&9.66835728913e-08
[[21, 81], [81, 21]]&0.81303198861&1.59404263153e-07
[[22, 80], [80, 22]]&0.795583538424&2.62813199301e-07
[[23, 79], [79, 23]]&0.777283751452&4.33305711908e-07
[[24, 78], [78, 24]]&0.758139808004&7.14400343939e-07
[[25, 77], [77, 25]]&0.73816114005&1.17784704285e-06
[[26, 76], [76, 26]]&0.717359369868&1.94194147317e-06
[[27, 75], [75, 27]]&0.695748245369&3.20172021328e-06
[[28, 74], [74, 28]]&0.6733435725&5.27874421846e-06
[[29, 73], [73, 29]]&0.650163145084&8.70317787556e-06
[[30, 72], [72, 30]]&0.626226672409&1.43491144861e-05
[[31, 71], [71, 31]]&0.601555704863&2.3657690269e-05
[[32, 70], [70, 32]]&0.576173557849&3.90049371621e-05
[[33, 69], [69, 33]]&0.550105234206&6.43082695615e-05
[[34, 68], [68, 34]]&0.523377345331&0.000106026411908
[[35, 67], [67, 35]]&0.496018031159&0.000174808000569
[[36, 66], [66, 36]]&0.468056879162&0.000288209668826
[[37, 65], [65, 37]]&0.439524842487&0.000475177411415
[[38, 64], [64, 38]]&0.410454157344&0.000783435105556
[[39, 63], [63, 39]]&0.380878259749&0.00129166612274
[[40, 62], [62, 40]]&0.350831701706&0.00212959741121
[[41, 61], [61, 41]]&0.320350066894&0.00351111254989
[[42, 60], [60, 42]]&0.289469885947&0.00578884594482
[[43, 59], [59, 43]]&0.258228551352&0.00954419344204
[[44, 58], [58, 44]]&0.226664232055&0.0157357147396
[[45, 57], [57, 45]]&0.194815787785&0.0259438076008
[[46, 56], [56, 46]]&0.162722683162&0.0427741074344
[[47, 55], [55, 47]]&0.130424901611&0.0705225807623
[[48, 54], [54, 48]]&0.0979628591195&0.116272078967
[[49, 53], [53, 49]]&0.0653773178762&0.191700249782
[[50, 52], [52, 50]]&0.0327092997983&0.316060279414
[[51, 51]]&0.0&0.196734670144
