Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[139, 3, 11], [11, 3, 139], [3, 11, 139], [3, 139, 11], [139, 11, 3], [11, 139, 3]]&0.998968&8.89838897934e-06
[[8, 140, 5], [5, 8, 140], [140, 5, 8], [140, 8, 5], [5, 140, 8], [8, 5, 140]]&0.998955&8.89939358836e-06
[[140, 6, 7], [140, 7, 6], [6, 7, 140], [6, 140, 7], [7, 6, 140], [7, 140, 6]]&0.998923&8.90187595853e-06
[[1, 135, 17], [17, 1, 135], [17, 135, 1], [135, 1, 17], [135, 17, 1], [1, 17, 135]]&0.99887&8.90607822772e-06
[[137, 2, 14], [2, 14, 137], [137, 14, 2], [14, 137, 2], [2, 137, 14], [14, 2, 137]]&0.998853&8.90739714209e-06
[[4, 139, 10], [10, 4, 139], [139, 4, 10], [10, 139, 4], [139, 10, 4], [4, 10, 139]]&0.998851&8.90754714679e-06
[[138, 12, 3], [3, 12, 138], [3, 138, 12], [138, 3, 12], [12, 138, 3], [12, 3, 138]]&0.998813&8.91053123924e-06
[[9, 5, 139], [5, 9, 139], [9, 139, 5], [139, 5, 9], [139, 9, 5], [5, 139, 9]]&0.998765&8.91425317778e-06
[[1, 134, 18], [18, 1, 134], [18, 134, 1], [134, 1, 18], [134, 18, 1], [1, 18, 134]]&0.998744&8.91590453741e-06
[[8, 139, 6], [139, 8, 6], [139, 6, 8], [6, 8, 139], [6, 139, 8], [8, 6, 139]]&0.998713&8.91835137152e-06
[[136, 15, 2], [2, 15, 136], [15, 2, 136], [15, 136, 2], [2, 136, 15], [136, 2, 15]]&0.998706&8.91889973909e-06
[[139, 7, 7], [7, 7, 139], [7, 139, 7]]&0.998695&4.45986529034e-06
[[4, 138, 11], [138, 11, 4], [11, 4, 138], [4, 11, 138], [138, 4, 11], [11, 138, 4]]&0.998668&8.92189964607e-06
[[137, 3, 13], [3, 13, 137], [3, 137, 13], [13, 3, 137], [13, 137, 3], [137, 13, 3]]&0.998644&8.9237493739e-06
[[1, 133, 19], [19, 1, 133], [19, 133, 1], [133, 1, 19], [133, 19, 1], [1, 19, 133]]&0.998611&8.92635262872e-06
[[138, 10, 5], [5, 10, 138], [10, 5, 138], [10, 138, 5], [138, 5, 10], [5, 138, 10]]&0.998556&8.93068431715e-06
